Size, Seq, Par, Libc
, 0.000001, 0.001237, 0.000007
, 0.000001, 0.001808, 0.000002
, 0.000000, 0.000633, 0.000003
, 0.000000, 0.000591, 0.000002
, 0.000002, 0.000983, 0.000003
, 0.000001, 0.000830, 0.000003
, 0.000001, 0.002943, 0.000004
, 0.000001, 0.001132, 0.000002
, 0.000001, 0.000644, 0.000001
, 0.000000, 0.000698, 0.000002
, 0.000001, 0.000553, 0.000002
, 0.000001, 0.000520, 0.000002
, 0.000001, 0.000547, 0.000002
, 0.000001, 0.000597, 0.000001
, 0.000001, 0.001181, 0.000002
, 0.000001, 0.000990, 0.000002
, 0.000001, 0.000650, 0.000002
, 0.000001, 0.001954, 0.000003
, 0.000001, 0.000795, 0.000003
, 0.000001, 0.000634, 0.000002
, 0.000000, 0.000663, 0.000002
, 0.000001, 0.000771, 0.000002
, 0.000001, 0.000601, 0.000002
, 0.000001, 0.000643, 0.000001
, 0.000001, 0.001169, 0.000004
, 0.000001, 0.002021, 0.000009
, 0.000001, 0.001175, 0.000002
, 0.000001, 0.000743, 0.000002
, 0.000001, 0.002590, 0.000003
, 0.000001, 0.002854, 0.000003
, 0.000001, 0.001217, 0.000003
, 0.000001, 0.002488, 0.000008
, 0.000001, 0.001865, 0.000002
, 0.000001, 0.000894, 0.000002
, 0.000001, 0.002714, 0.000008
, 0.000001, 0.004312, 0.000004
, 0.000002, 0.001027, 0.000002
, 0.000001, 0.002178, 0.000005
, 0.000001, 0.004537, 0.000008
, 0.000002, 0.003482, 0.000006
, 0.000001, 0.001257, 0.000003
, 0.000002, 0.008398, 0.000005
, 0.000002, 0.002753, 0.000007
, 0.000001, 0.006328, 0.000011
, 0.000001, 0.003721, 0.000005
, 0.000002, 0.002019, 0.000004
, 0.000001, 0.001220, 0.000003
, 0.000001, 0.002285, 0.000009
, 0.000002, 0.002196, 0.000004
, 0.000002, 0.003342, 0.000004
, 0.000001, 0.005715, 0.000022
, 0.000002, 0.001090, 0.000004
, 0.000002, 0.003134, 0.000005
, 0.000002, 0.002909, 0.000014
, 0.000002, 0.004575, 0.000007
, 0.000001, 0.001663, 0.000003
, 0.000002, 0.001236, 0.000003
, 0.000002, 0.001117, 0.000003
, 0.000002, 0.002014, 0.000006
, 0.000003, 0.002247, 0.000004
, 0.000002, 0.001160, 0.000004
, 0.000002, 0.001204, 0.000003
, 0.000002, 0.005245, 0.000009
, 0.000003, 0.002564, 0.000005
, 0.000002, 0.001275, 0.000005
, 0.000002, 0.001212, 0.000004
, 0.000003, 0.001271, 0.000005
, 0.000003, 0.004791, 0.000006
, 0.000002, 0.010685, 0.000010
, 0.000002, 0.002121, 0.000012
, 0.000003, 0.011412, 0.000009
, 0.000002, 0.002151, 0.000005
, 0.000002, 0.001421, 0.000004
, 0.000002, 0.001472, 0.000004
, 0.000003, 0.002679, 0.000006
