Size, Seq, Par, Libc
, 0.000001, 0.000946, 0.000003
, 0.000000, 0.001479, 0.000003
, 0.000001, 0.000881, 0.000003
, 0.000001, 0.000645, 0.000003
, 0.000001, 0.000602, 0.000002
, 0.000001, 0.000769, 0.000002
, 0.000001, 0.000535, 0.000002
, 0.000001, 0.000893, 0.000003
, 0.000000, 0.000598, 0.000004
, 0.000001, 0.000973, 0.000003
, 0.000001, 0.000810, 0.000002
, 0.000001, 0.000661, 0.000002
, 0.000001, 0.000720, 0.000002
, 0.000001, 0.000626, 0.000002
, 0.000000, 0.000652, 0.000001
, 0.000001, 0.001481, 0.000003
, 0.000001, 0.001111, 0.000003
, 0.000001, 0.000681, 0.000003
, 0.000001, 0.001020, 0.000003
, 0.000001, 0.000698, 0.000002
, 0.000001, 0.001019, 0.000003
, 0.000001, 0.000873, 0.000002
, 0.000001, 0.000783, 0.000002
, 0.000001, 0.000772, 0.000002
, 0.000001, 0.000700, 0.000002
, 0.000001, 0.001075, 0.000003
, 0.000001, 0.001504, 0.000004
, 0.000001, 0.001050, 0.000003
, 0.000001, 0.000977, 0.000002
, 0.000001, 0.001047, 0.000003
, 0.000001, 0.001243, 0.000003
, 0.000002, 0.000955, 0.000003
, 0.000001, 0.000962, 0.000002
, 0.000002, 0.000930, 0.000003
, 0.000001, 0.001033, 0.000003
, 0.000001, 0.000824, 0.000003
, 0.000002, 0.000854, 0.000003
, 0.000001, 0.000845, 0.000002
, 0.000001, 0.000866, 0.000002
, 0.000001, 0.000941, 0.000002
, 0.000001, 0.001202, 0.000004
, 0.000001, 0.001149, 0.000002
, 0.000002, 0.001063, 0.000002
, 0.000002, 0.001169, 0.000002
, 0.000001, 0.001215, 0.000003
, 0.000001, 0.001774, 0.000003
, 0.000002, 0.001258, 0.000004
, 0.000002, 0.001100, 0.000003
, 0.000002, 0.002368, 0.000004
, 0.000001, 0.000995, 0.000003
, 0.000002, 0.004126, 0.000007
, 0.000001, 0.001167, 0.000003
, 0.000002, 0.001262, 0.000003
, 0.000001, 0.001051, 0.000003
, 0.000002, 0.001110, 0.000003
, 0.000002, 0.001094, 0.000003
, 0.000002, 0.001185, 0.000003
, 0.000002, 0.001487, 0.000003
, 0.000002, 0.001047, 0.000003
, 0.000002, 0.000991, 0.000003
, 0.000002, 0.001410, 0.000004
, 0.000001, 0.001230, 0.000003
, 0.000002, 0.003074, 0.000004
, 0.000002, 0.005485, 0.000004
, 0.000002, 0.001473, 0.000004
, 0.000002, 0.001108, 0.000003
, 0.000002, 0.001129, 0.000003
, 0.000002, 0.001152, 0.000004
, 0.000002, 0.001198, 0.000003
, 0.000002, 0.001058, 0.000004
, 0.000002, 0.001484, 0.000004
, 0.000002, 0.001640, 0.000004
, 0.000002, 0.001377, 0.000003
, 0.000002, 0.001402, 0.000003
, 0.000002, 0.001157, 0.000004
, 0.000000, 0.001116, 0.000003
, 0.000001, 0.000667, 0.000003
, 0.000000, 0.001016, 0.000002
, 0.000001, 0.000536, 0.000001
, 0.000000, 0.001617, 0.000003
, 0.000001, 0.000949, 0.000002
, 0.000000, 0.000650, 0.000003
, 0.000001, 0.000665, 0.000002
, 0.000000, 0.000640, 0.000002
, 0.000001, 0.000696, 0.000002
, 0.000001, 0.001101, 0.000003
, 0.000001, 0.001408, 0.000007
, 0.000001, 0.000790, 0.000002
, 0.000001, 0.000757, 0.000003
, 0.000001, 0.000649, 0.000002
, 0.000001, 0.000766, 0.000002
, 0.000001, 0.000645, 0.000002
, 0.000001, 0.000765, 0.000002
, 0.000001, 0.000656, 0.000002
, 0.000001, 0.000872, 0.000002
, 0.000001, 0.000758, 0.000002
, 0.000001, 0.000647, 0.000002
, 0.000001, 0.000829, 0.000002
, 0.000001, 0.000602, 0.000002
, 0.000001, 0.000868, 0.000002
, 0.000001, 0.000793, 0.000002
, 0.000001, 0.000714, 0.000002
, 0.000001, 0.000707, 0.000002
, 0.000001, 0.000974, 0.000002
, 0.000001, 0.000736, 0.000002
, 0.000001, 0.000705, 0.000002
, 0.000001, 0.000691, 0.000002
, 0.000001, 0.000698, 0.000002
, 0.000001, 0.000725, 0.000002
, 0.000001, 0.000625, 0.000002
, 0.000001, 0.000774, 0.000002
, 0.000001, 0.000739, 0.000002
, 0.000001, 0.000750, 0.000003
, 0.000001, 0.000713, 0.000002
, 0.000001, 0.000697, 0.000002
, 0.000001, 0.001338, 0.000003
, 0.000001, 0.000904, 0.000003
, 0.000001, 0.000824, 0.000003
, 0.000001, 0.000748, 0.000002
, 0.000002, 0.000848, 0.000002
, 0.000002, 0.000912, 0.000003
, 0.000002, 0.000831, 0.000003
, 0.000001, 0.001235, 0.000003
, 0.000001, 0.001152, 0.000002
, 0.000001, 0.002918, 0.000004
, 0.000001, 0.001205, 0.000003
, 0.000001, 0.000808, 0.000002
, 0.000002, 0.000798, 0.000003
, 0.000001, 0.000858, 0.000002
, 0.000002, 0.003528, 0.000004
, 0.000002, 0.001257, 0.000002
, 0.000002, 0.000980, 0.000003
, 0.000002, 0.000953, 0.000002
, 0.000001, 0.001013, 0.000002
, 0.000002, 0.001065, 0.000003
, 0.000002, 0.000979, 0.000003
, 0.000002, 0.002501, 0.000004
, 0.000002, 0.001074, 0.000003
, 0.000002, 0.001175, 0.000003
, 0.000001, 0.001098, 0.000003
, 0.000002, 0.001056, 0.000003
, 0.000002, 0.001206, 0.000003
, 0.000002, 0.001856, 0.000004
, 0.000002, 0.001123, 0.000004
, 0.000002, 0.001132, 0.000003
, 0.000002, 0.001199, 0.000003
, 0.000002, 0.000958, 0.000003
, 0.000002, 0.001079, 0.000003
, 0.000002, 0.001057, 0.000003
, 0.000002, 0.001133, 0.000003
